count,x,y,z,time
962,0,0,0,1420
746,1.07226,-0.431259,0.0893005,1421
972,0,0,0,1422
656,1.04574,-0.463502,0.0820644,1423
89,0,0,0,1424
206,1.01365,-0.493257,0.0743875,1425
842,0,0,0,1426
663,0.9759,-0.52024,0.0662928,1427
730,0,0,0,1428
545,0.932387,-0.544125,0.0578032,1429
197,0,0,0,1430
532,0.882941,-0.564521,0.0489431,1431
29,0,0,0,1432
172,0.827346,-0.580958,0.0397396,1433
217,0,0,0,1434
620,0.765324,-0.59285,0.0302254,1435
129,0,0,0,1436
804,0.696523,-0.599458,0.0204416,1437
892,0,0,0,1438
584,0.620502,-0.599813,0.0104447,1439
875,0,0,0,1440
167,0.536709,-0.592611,0.000316183,1441
107,0,0,0,1442
61,0.444453,-0.576018,-0.00981735,1443
482,0,0,0,1444
451,0.342896,-0.547313,-0.0197445,1445
314,0,0,0,1446
117,0.231089,-0.502175,-0.0290788,1447
987,0,0,0,1448
441,0.108291,-0.433057,-0.0370245,1449
863,0,0,0,1450
63,-0.0242233,-0.324907,-0.0416332,1451
879,0,0,0,1452
701,-0.151156,-0.14249,-0.0367252,1453
162,0,0,0,1454
63,-0.147617,0.162877,-0.000128411,1455
683,0,0,0,1456
847,-0.0314618,0.344034,0.0365663,1457
821,0,0,0,1458
218,0.0908164,0.458726,0.0661966,1459
611,0,0,0,1460
631,0.206156,0.538147,0.0907372,1461
167,0,0,0,1462
441,0.31313,0.595613,0.111576,1463
799,0,0,0,1464
865,0.412156,0.637877,0.129567,1465
345,0,0,0,1466
761,0.503925,0.668842,0.145263,1467
228,0,0,0,1468
589,0.589091,0.690984,0.159042,1469
929,0,0,0,1470
149,0.66821,0.705981,0.171177,1471
211,0,0,0,1472
647,0.741744,0.71503,0.181871,1473
989,0,0,0,1474
833,0.810076,0.719022,0.191277,1475
89,0,0,0,1476
96,0.873521,0.718637,0.199519,1477
797,0,0,0,1478
688,0.932341,0.71441,0.206695,1479
664,0,0,0,1480
695,0.986753,0.706773,0.212884,1481
714,0,0,0,1482
691,1.03694,0.696076,0.218151,1483
642,0,0,0,1484
275,1.08305,0.682612,0.222551,1485
407,0,0,0,1486
696,1.1252,0.666628,0.22613,1487
585,0,0,0,1488
848,1.1635,0.648335,0.228925,1489
225,0,0,0,1490
941,1.19803,0.627914,0.230969,1491
367,0,0,0,1492
544,1.22884,0.605525,0.232289,1493
636,0,0,0,1494
818,1.25599,0.581307,0.232907,1495
682,0,0,0,1496
393,1.27951,0.555386,0.232843,1497
947,0,0,0,1498
819,1.2994,0.527874,0.232112,1499
135,0,0,0,1500
86,1.31567,0.498874,0.230727,1501
408,0,0,0,1502
886,1.32831,0.46848,0.228697,1503
813,0,0,0,1504
890,1.3373,0.43678,0.22603,1505
161,0,0,0,1506
357,1.34258,0.403857,0.222729,1507
377,0,0,0,1508
333,1.34411,0.369791,0.218798,1509
378,0,0,0,1510
460,1.3418,0.334659,0.214236,1511
345,0,0,0,1512
146,1.33557,0.298537,0.209041,1513
265,0,0,0,1514
799,1.32532,0.261504,0.203208,1515
287,0,0,0,1516
972,1.31089,0.22364,0.196729,1517
819,0,0,0,1518
183,1.29214,0.185031,0.189595,1519
615,0,0,0,1520
764,1.26887,0.145768,0.181791,1521
188,0,0,0,1522
646,1.24086,0.105956,0.173301,1523
969,0,0,0,1524
61,1.20783,0.0657116,0.164105,1525
231,0,0,0,1526
674,1.16948,0.0251747,0.154178,1527
587,0,0,0,1528
562,1.1254,-0.0154863,0.143491,1529
366,0,0,0,1530
126,1.07512,-0.0560614,0.132008,1531
751,0,0,0,1532
347,1.01806,-0.0962807,0.119688,1533
66,0,0,0,1534
640,0.953495,-0.135785,0.106479,1535
291,0,0,0,1536
928,0.880481,-0.174081,0.0923218,1537
941,0,0,0,1538
962,0.797803,-0.210457,0.0771467,1539
259,0,0,0,1540
489,0.703813,-0.243838,0.0608735,1541
107,0,0,0,1542
703,0.59621,-0.272487,0.0434191,1543
30,0,0,0,1544
699,0.471619,-0.293351,0.0247243,1545
157,0,0,0,1546
802,0.324842,-0.300388,0.00486415,1547
903,0,0,0,1548
278,0.147735,-0.279338,-0.0154509,1549
925,0,0,0,1550
356,-0.0671157,-0.186837,-0.0318138,1551
171,0,0,0,1552
231,-0.215036,0.0918632,-0.0164715,1553
1,0,0,0,1554
269,-0.227692,0.312798,0.00922844,1555
564,0,0,0,1556
933,-0.208485,0.49002,0.0336387,1557
739,0,0,0,1558
573,-0.178118,0.641115,0.0562555,1559
900,0,0,0,1560
223,-0.142861,0.774771,0.077342,1561
195,0,0,0,1562
28,-0.105228,0.895777,0.0971657,1563
183,0,0,0,1564
742,-0.066408,1.00706,0.115935,1565
16,0,0,0,1566
1000,-0.0270309,1.11057,0.133809,1567
863,0,0,0,1568
304,0.0125468,1.20765,0.150909,1569
293,0,0,0,1570
401,0.0521124,1.29931,0.167331,1571
919,0,0,0,1572
130,0.0915351,1.3863,0.183151,1573
26,0,0,0,1574
610,0.130733,1.46921,0.198433,1575
860,0,0,0,1576
572,0.169653,1.54851,0.213227,1577
512,0,0,0,1578
191,0.208265,1.62458,0.227577,1579
2,0,0,0,1580
111,0.246547,1.69774,0.241519,1581
130,0,0,0,1582
573,0.28449,1.76826,0.255084,1583
224,0,0,0,1584
959,0.322088,1.83635,0.268301,1585
752,0,0,0,1586
565,0.35934,1.90223,0.281193,1587
707,0,0,0,1588
566,0.396248,1.96604,0.29378,1589
671,0,0,0,1590
534,0.432814,2.02794,0.306081,1591
893,0,0,0,1592
476,0.469044,2.08806,0.318114,1593
608,0,0,0,1594
528,0.504944,2.14651,0.329892,1595
636,0,0,0,1596
4,0.540518,2.20338,0.341428,1597
720,0,0,0,1598
959,0.575774,2.25879,0.352736,1599
314,0,0,0,1600
500,0.610719,2.31279,0.363826,1601
75,0,0,0,1602
659,0.645359,2.36547,0.374708,1603
506,0,0,0,1604
298,0.679701,2.4169,0.385391,1605
156,0,0,0,1606
150,0.713751,2.46713,0.395883,1607
407,0,0,0,1608
997,0.747515,2.51623,0.406193,1609
670,0,0,0,1610
376,0.781002,2.56423,0.416327,1611
113,0,0,0,1612
128,0.814215,2.6112,0.426292,1613
590,0,0,0,1614
217,0.847162,2.65716,0.436094,1615
301,0,0,0,1616
755,0.879848,2.70218,0.44574,1617
167,0,0,0,1618
538,0.912279,2.74627,0.455233,1619
885,0,0,0,1620
39,0.94446,2.78947,0.46458,1621
988,0,0,0,1622
780,0.976397,2.83183,0.473785,1623
851,0,0,0,1624
213,1.0081,2.87336,0.482852,1625
245,0,0,0,1626
152,1.03956,2.9141,0.491786,1627
476,0,0,0,1628
50,1.07079,2.95407,0.500591,1629
500,0,0,0,1630
699,1.1018,2.9933,0.509269,1631
567,0,0,0,1632
944,1.13259,3.0318,0.517825,1633
549,0,0,0,1634
445,1.16316,3.06961,0.526262,1635
63,0,0,0,1636
917,1.19352,3.10675,0.534583,1637
387,0,0,0,1638
123,1.22368,3.14322,0.542791,1639
471,0,0,0,1640
714,1.25362,3.17906,0.550888,1641
199,0,0,0,1642
124,1.28337,3.21428,0.558878,1643
489,0,0,0,1644
949,1.31292,3.24889,0.566763,1645
58,0,0,0,1646
576,1.34228,3.28292,0.574546,1647
486,0,0,0,1648
734,1.37144,3.31637,0.582228,1649
660,0,0,0,1650
363,1.40042,3.34926,0.589812,1651
850,0,0,0,1652
141,1.42922,3.38161,0.597299,1653
414,0,0,0,1654
889,1.45784,3.41342,0.604693,1655
865,0,0,0,1656
701,1.48627,3.44472,0.611995,1657
372,0,0,0,1658
907,1.51454,3.4755,0.619206,1659
725,0,0,0,1660
